old_name,new_name,promportal_url,raw_url,collision_resolved
"Верхний суппорт 1Н983.40.030 .jpg","verkhniy_support_1n983.40.030.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/verkhniy_support_1n983.40.030.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/verkhniy_support_1n983.40.030.jpg",""
"Верхний суппорт 1Н983.40.030.jpg","verkhniy_support_1n983.40.030_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/verkhniy_support_1n983.40.030_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/verkhniy_support_1n983.40.030_2.jpg","Yes"
"Вилка 1М63.21.030   .jpg","vilka_1m63.21.030.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/vilka_1m63.21.030.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/vilka_1m63.21.030.jpg",""
"Вилка 1М63.21.030  .jpg","vilka_1m63.21.030_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/vilka_1m63.21.030_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/vilka_1m63.21.030_2.jpg","Yes"
"Вилка 1М63.21.030 .jpg","vilka_1m63.21.030_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/vilka_1m63.21.030_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/vilka_1m63.21.030_3.jpg","Yes"
"Вилка 1М63.21.030.jpg","vilka_1m63.21.030_4.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/vilka_1m63.21.030_4.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/vilka_1m63.21.030_4.jpg","Yes"
"Винт кареточный - 1н983.50.207   .jpg","vint_karetochnyy_-_1n983.50.207.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/vint_karetochnyy_-_1n983.50.207.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/vint_karetochnyy_-_1n983.50.207.jpg",""
"Винт кареточный - 1н983.50.207  .jpg","vint_karetochnyy_-_1n983.50.207_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/vint_karetochnyy_-_1n983.50.207_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/vint_karetochnyy_-_1n983.50.207_2.jpg","Yes"
"Винт кареточный - 1н983.50.207 .jpg","vint_karetochnyy_-_1n983.50.207_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/vint_karetochnyy_-_1n983.50.207_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/vint_karetochnyy_-_1n983.50.207_3.jpg","Yes"
"Винт кареточный - 1н983.50.207.jpg","vint_karetochnyy_-_1n983.50.207_4.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/vint_karetochnyy_-_1n983.50.207_4.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/vint_karetochnyy_-_1n983.50.207_4.jpg","Yes"
"Гидроотскок к суппорту станков РТ783_РТ983    .jpg","gidrootskok_k_supportu_stankov_rt783_rt983.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/gidrootskok_k_supportu_stankov_rt783_rt983.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/gidrootskok_k_supportu_stankov_rt783_rt983.jpg",""
"Гидроотскок к суппорту станков РТ783_РТ983   .jpg","gidrootskok_k_supportu_stankov_rt783_rt983_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/gidrootskok_k_supportu_stankov_rt783_rt983_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/gidrootskok_k_supportu_stankov_rt783_rt983_2.jpg","Yes"
"Гидроотскок к суппорту станков РТ783_РТ983  .jpg","gidrootskok_k_supportu_stankov_rt783_rt983_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/gidrootskok_k_supportu_stankov_rt783_rt983_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/gidrootskok_k_supportu_stankov_rt783_rt983_3.jpg","Yes"
"Гидроотскок к суппорту станков РТ783_РТ983 .jpg","gidrootskok_k_supportu_stankov_rt783_rt983_4.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/gidrootskok_k_supportu_stankov_rt783_rt983_4.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/gidrootskok_k_supportu_stankov_rt783_rt983_4.jpg","Yes"
"Гидроотскок к суппорту станков РТ783_РТ983.jpg","gidrootskok_k_supportu_stankov_rt783_rt983_5.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/gidrootskok_k_supportu_stankov_rt783_rt983_5.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/gidrootskok_k_supportu_stankov_rt783_rt983_5.jpg","Yes"
"Захваты 6Т13МФ4‑1.360.251  .jpg","zakhvaty_6t13mf4‑1.360.251.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/zakhvaty_6t13mf4%E2%80%911.360.251.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/zakhvaty_6t13mf4%E2%80%911.360.251.jpg",""
"Захваты 6Т13МФ4‑1.360.251 .jpg","zakhvaty_6t13mf4‑1.360.251_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/zakhvaty_6t13mf4%E2%80%911.360.251_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/zakhvaty_6t13mf4%E2%80%911.360.251_2.jpg","Yes"
"Захваты 6Т13МФ4‑1.360.251.jpg","zakhvaty_6t13mf4‑1.360.251_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/zakhvaty_6t13mf4%E2%80%911.360.251_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/zakhvaty_6t13mf4%E2%80%911.360.251_3.jpg","Yes"
