old_name,new_name,raw_url,shifr,src_kb,dst_kb,status
Винт с гайкой поперечной подачи 16к20.050.401.201.202.jpg,vint_s_gajkoj_poperechnoj_podachi_16k20.050.401.201.202.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vint_s_gajkoj_poperechnoj_podachi_16k20.050.401.201.202.jpg,16k20.050.401.201.202,167.7,48.4,OK
Винт с гайкой поперечной подачи для импортного оборудования.jpg,vint_s_gajkoj_poperechnoj_podachi_dlya_importnogo_oborudovaniya.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vint_s_gajkoj_poperechnoj_podachi_dlya_importnogo_oborudovaniya.jpg,,256.8,30.5,OK
Винт суппорта в комплекте с гайкой для станка 1м63 1м63.04.152.jpg,vint_supporta_v_komplekte_s_gajkoj_dlya_stanka_1m63_1m63.04.152.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vint_supporta_v_komplekte_s_gajkoj_dlya_stanka_1m63_1m63.04.152.jpg,1m63.04.152,161.3,46.6,OK
Винт.гайка суппорта16к20.040.402.013 для токарно-винторезных станков мод. 16к20 поворотка.jpg,vint.gajka_supporta16k20.040.402.013_dlya_tokarno-vintoreznykh_stankov_mod._16k20_povorotka.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vint.gajka_supporta16k20.040.402.013_dlya_tokarno-vintoreznykh_stankov_mod._16k20_povorotka.jpg,supporta16k20.040.402.013,167.8,49.2,OK
Винты 1н983.90.153 к токарному патрону 1н983.90.000сб для станков 1м983 1а983 1н983 са983 рт983.jpg,vinty_1n983.90.153_k_tokarnomu_patronu_1n983.90.000sb_dlya_stankov_1m983_1a983_1n983_sa983_rt983.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vinty_1n983.90.153_k_tokarnomu_patronu_1n983.90.000sb_dlya_stankov_1m983_1a983_1n983_sa983_rt983.jpg,1n983.90.153,207.8,59.1,OK
Винты для всех станков токарной группы 1м63 1м65 1н65.jpg,vinty_dlya_vsekh_stankov_tokarnoj_gruppy_1m63_1m65_1n65.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vinty_dlya_vsekh_stankov_tokarnoj_gruppy_1m63_1m65_1n65.jpg,,205.0,57.0,OK
Винты к трубному патрону для импортных станков 1.jpg,vinty_k_trubnomu_patronu_dlya_importnykh_stankov_1.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vinty_k_trubnomu_patronu_dlya_importnykh_stankov_1.jpg,,1978.1,65.7,OK
Винты с гайками специального токарно- дискового станка МК-138М — RUSSTANKO.jpg,vinty_s_gajkami_spetsialnogo_tokarno-_diskovogo_stanka_mk-138m_russtanko.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vinty_s_gajkami_spetsialnogo_tokarno-_diskovogo_stanka_mk-138m_russtanko.jpg,,558.1,71.4,OK
Вкладыши бронза для кривошипных прессов мод. ке2330 1.jpg,vkladyshi_bronza_dlya_krivoshipnykh_pressov_mod._ke2330_1.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vkladyshi_bronza_dlya_krivoshipnykh_pressov_mod._ke2330_1.jpg,,1601.6,53.4,OK
Водило уг9311.0207.000 для револверной головки уг9326.jpg,vodilo_ug9311.0207.000_dlya_revolvernoj_golovki_ug9326.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/vodilo_ug9311.0207.000_dlya_revolvernoj_golovki_ug9326.jpg,ug9311.0207.000,162.8,48.5,OK
