=== ЛОГ СБОРКИ PromIndex-500-FINAL.yml (2026-05-29) ===

СВОДКА:
  Фото — точное совпадение : 37
  Фото — нечёткое          : 4
  Фото — по типу детали    : 0
  Фото — заглушка          : 358
  (уже имели фото, не тронуты): 101
  Описания обогащены z/m (из XLS): 45
  Кинематика не найдена (оставлено без z/m): 130

ДЕТАЛИ:
offer 40 | Колесо зубчатое (венец) 1Н983.90.154 патрона станка 1Н983 | ФОТО: exact: venets_zubchatyy_-1n983.90.154.jpg, venets_zubchatyy_-_1n983.90.154.jpg, venets_zubchatyy_1n983.90.154.jpg, venets_zubchatyy_-1n983.90.154_2.jpg
offer 41 | Зубчатое колесо 16М50.70.164 | ФОТО: zaglushka: Zaglushka.jpg
offer 41 | Зубчатое колесо 16М50.70.164 | КИНЕМАТИКА: z = 36, m = 2.75, b = 16 мм (источник: кинематическая таблица станка 1А64/165/1Н65/16М50 (cc73ab90))
offer 42 | Шарико-винтовая пара (ШВП) 16М30Ф3.57.000 | ФОТО: zaglushka: Zaglushka.jpg
offer 43 | Винт 1М63.04.152 | ФОТО: zaglushka: Zaglushka.jpg
offer 44 | Вал 1М63Б.60.292 | ФОТО: zaglushka: Zaglushka.jpg
offer 44 | Вал 1М63Б.60.292 | КИНЕМАТИКА: не найдена (шифр 1m63b.60.292) — описание оставлено без z/m
offer 45 | Вал 1М63Б.71.150 | ФОТО: zaglushka: Zaglushka.jpg
offer 45 | Вал 1М63Б.71.150 | КИНЕМАТИКА: не найдена (шифр 1m63b.71.150) — описание оставлено без z/m
offer 46 | Колесо зубчатое 1Н65.40.156 | ФОТО: zaglushka: Zaglushka.jpg
offer 47 | Полугайка (гайка маточная) 1М63.06.117 для фартука станка 1М63 | ФОТО: zaglushka: Zaglushka.jpg
offer 48 | Валик IV оси 1А64.02.857 для коробки скоростей станка 1Н65 (ДИП‑500) | ФОТО: zaglushka: Zaglushka.jpg
offer 48 | Валик IV оси 1А64.02.857 для коробки скоростей станка 1Н65 (ДИП‑500) | КИНЕМАТИКА: не найдена (шифр 1a64.02.857) — описание оставлено без z/m
offer 49 | Суппорт в сборе для трубонарезных станков 1Н983, 1А983, 1М983, СА983, РТ983 | ФОТО: zaglushka: Zaglushka.jpg
offer 50 | Винт ходовой 1Н65.10.151 | ФОТО: zaglushka: Zaglushka.jpg
offer 51 | Вал 16К40.70.155 для коробки подач станка 16К40 | ФОТО: zaglushka: Zaglushka.jpg
offer 51 | Вал 16К40.70.155 для коробки подач станка 16К40 | КИНЕМАТИКА: не найдена (шифр 16k40.70.155) — описание оставлено без z/m
offer 52 | Колесо зубчатое 16М50.70.186 | ФОТО: zaglushka: Zaglushka.jpg
offer 53 | Вал 1М63Б.70.209 | ФОТО: zaglushka: Zaglushka.jpg
offer 53 | Вал 1М63Б.70.209 | КИНЕМАТИКА: не найдена (шифр 1m63b.70.209) — описание оставлено без z/m
offer 54 | Ось 1Н65.60.163 | ФОТО: zaglushka: Zaglushka.jpg
offer 54 | Ось 1Н65.60.163 | КИНЕМАТИКА: не найдена (шифр 1n65.60.163) — описание оставлено без z/m
offer 55 | Колесо зубчатое 1М63.61.158 | ФОТО: zaglushka: Zaglushka.jpg
offer 56 | Шкив 1А64.02.761 | ФОТО: zaglushka: Zaglushka.jpg
offer 56 | Шкив 1А64.02.761 | КИНЕМАТИКА: не найдена (шифр 1a64.02.761) — описание оставлено без z/m
offer 57 | Вал 1Н65.71.153 | ФОТО: zaglushka: Zaglushka.jpg
offer 57 | Вал 1Н65.71.153 | КИНЕМАТИКА: не найдена (шифр 1n65.71.153) — описание оставлено без z/m
offer 58 | Колесо зубчатое 1М63Б.71.152 | ФОТО: zaglushka: Zaglushka.jpg
offer 58 | Колесо зубчатое 1М63Б.71.152 | КИНЕМАТИКА: z = 55, b = 13 мм (источник: кинематическая таблица станка 1М63 (077003d5))
offer 59 | Колесо зубчатое 1М63Б.70.234 | ФОТО: zaglushka: Zaglushka.jpg
offer 59 | Колесо зубчатое 1М63Б.70.234 | КИНЕМАТИКА: z = 25, m = 2.75, b = 16 мм (источник: кинематическая таблица станка 1М63 (077003d5))
offer 60 | Колесо зубчатое 1А64.02.884 | ФОТО: zaglushka: Zaglushka.jpg
offer 60 | Колесо зубчатое 1А64.02.884 | КИНЕМАТИКА: z = 68, b = 12 мм (источник: кинематическая таблица станка 1А64/165/1Н65/16М50 (cc73ab90))
offer 61 | Винт ходовой 1Н65.40.165 | ФОТО: zaglushka: Zaglushka.jpg
offer 62 | Колесо зубчатое 1М63.41.269 | ФОТО: exact: koleso_zubchatoe_1m63.41.269.jpg, koleso_zubchatoe_1m63.41.269_2.jpg, koleso_zubchatoe_1m63.41.269_3.jpg
offer 62 | Колесо зубчатое 1М63.41.269 | КИНЕМАТИКА: z = 34, m = 1, b = 10 мм (источник: кинематическая таблица станка 1М63 (077003d5))
offer 63 | Колесо зубчатое 164.07.178 | ФОТО: zaglushka: Zaglushka.jpg
offer 64 | Колесо зубчатое 1Н65.08.154 | ФОТО: zaglushka: Zaglushka.jpg
offer 65 | Колесо зубчатое 1А64.02.349 | ФОТО: zaglushka: Zaglushka.jpg
offer 65 | Колесо зубчатое 1А64.02.349 | КИНЕМАТИКА: z = 49, m = 4, b = 30 мм (источник: кинематическая таблица станка 1А64/165/1Н65/16М50 (cc73ab90))
offer 66 | Колесо зубчатое 1Н65.60.162 | ФОТО: zaglushka: Zaglushka.jpg
offer 67 | Колесо зубчатое 16М50.70.165 | ФОТО: zaglushka: Zaglushka.jpg
offer 68 | Колесо зубчатое 1М64.60.199 | ФОТО: zaglushka: Zaglushka.jpg
offer 69 | Колесо зубчатое 16К30.70.151 | ФОТО: zaglushka: Zaglushka.jpg
offer 69 | Колесо зубчатое 16К30.70.151 | КИНЕМАТИКА: z = 36, m = 2.75, b = 15.5 мм (источник: кинематическая таблица станка 1М63 (077003d5))
offer 70 | Блок зубчатый 1М63Б.60.283 | ФОТО: zaglushka: Zaglushka.jpg
offer 70 | Блок зубчатый 1М63Б.60.283 | КИНЕМАТИКА: z = 69, m = 1, b = 9 мм (блок зубчатый) (источник: кинематическая таблица станка 1М63 (077003d5))
offer 71 | Колесо зубчатое 1М63Б.40.198 | ФОТО: zaglushka: Zaglushka.jpg
offer 72 | Колесо зубчатое 1М63Б.08.166 | ФОТО: zaglushka: Zaglushka.jpg
offer 72 | Колесо зубчатое 1М63Б.08.166 | КИНЕМАТИКА: z = 86 (источник: кинематическая таблица станка 1М63 (077003d5))
offer 73 | Колесо зубчатое 164.07.179 | ФОТО: zaglushka: Zaglushka.jpg
offer 74 | Колесо зубчатое 16М50.70.182 | ФОТО: zaglushka: Zaglushka.jpg
offer 75 | Вал 1М63.21.229 | ФОТО: zaglushka: Zaglushka.jpg
offer 75 | Вал 1М63.21.229 | КИНЕМАТИКА: не найдена (шифр 1m63.21.229) — описание оставлено без z/m
offer 76 | Блок зубчатый 1Н65.50.155 | ФОТО: zaglushka: Zaglushka.jpg
offer 77 | Колесо зубчатое 1А64.07.292 | ФОТО: zaglushka: Zaglushka.jpg
offer 78 | Колесо зубчатое 1А64.02.832 | ФОТО: zaglushka: Zaglushka.jpg
offer 78 | Колесо зубчатое 1А64.02.832 | КИНЕМАТИКА: z = 35, m = 3, b = 22 мм (блок зубчатый) (источник: кинематическая таблица станка 1А64/165/1Н65/16М50 (cc73ab90))
